"ServiceId","SliId","LocationId","AtTime","TotalCount","UnhealthyCount"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T00:47:00Z","9140","25"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T00:48:00Z","9143","25"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T00:49:00Z","9142","25"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T00:50:00Z","9140","25"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T00:51:00Z","9139","25"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T00:52:00Z","9139","25"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T00:53:00Z","9143","27"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T00:54:00Z","9143","27"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T00:55:00Z","9141","27"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T00:56:00Z","9140","27"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T00:57:00Z","9139","27"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T00:58:00Z","9138","25"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T00:59:00Z","9138","25"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T01:00:00Z","9135","25"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T01:01:00Z","9134","24"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T01:02:00Z","9133","24"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T01:03:00Z","9137","24"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T01:04:00Z","9139","24"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T01:05:00Z","9138","24"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T01:06:00Z","9138","24"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T01:07:00Z","9137","24"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T01:08:00Z","9136","24"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T01:09:00Z","9135","24"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T01:10:00Z","9131","24"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T01:11:00Z","9130","24"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T01:12:00Z","9128","24"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T01:13:00Z","9128","24"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T01:14:00Z","9127","24"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T01:15:00Z","9126","24"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T01:16:00Z","9126","24"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T01:17:00Z","9125","24"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T01:18:00Z","9124","25"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T01:19:00Z","9124","25"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T01:20:00Z","9121","25"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T01:21:00Z","9120","25"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T01:22:00Z","9118","24"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T01:23:00Z","9120","24"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T01:24:00Z","9120","24"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T01:25:00Z","9115","24"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T01:26:00Z","9113","24"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T01:27:00Z","9111","24"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T01:28:00Z","9112","23"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T01:29:00Z","9112","23"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T01:30:00Z","9104","23"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T01:31:00Z","9103","23"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T01:32:00Z","9098","23"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T01:33:00Z","9098","23"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T01:34:00Z","9097","23"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T01:35:00Z","9092","23"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T01:36:00Z","9091","23"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T01:37:00Z","9089","23"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T01:38:00Z","9097","23"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T01:39:00Z","9097","23"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T01:40:00Z","9095","23"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T01:41:00Z","9094","23"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T01:42:00Z","9094","23"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T01:43:00Z","9111","23"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T01:44:00Z","9110","23"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T01:45:00Z","9110","23"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T01:46:00Z","9109","23"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T01:47:00Z","9105","23"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T01:48:00Z","9103","23"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T01:49:00Z","9107","23"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T01:50:00Z","9102","23"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T01:51:00Z","9101","23"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T01:52:00Z","9099","23"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T01:53:00Z","9095","23"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T01:54:00Z","9094","23"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T01:55:00Z","9090","23"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T01:56:00Z","9090","23"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T01:57:00Z","9087","23"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T01:58:00Z","9088","23"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T01:59:00Z","9088","23"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T02:00:00Z","9086","23"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T02:01:00Z","9084","23"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T02:02:00Z","9084","23"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T02:03:00Z","9085","23"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T02:04:00Z","9085","23"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T02:05:00Z","9084","23"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T02:06:00Z","9083","23"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T02:07:00Z","9081","23"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T02:08:00Z","9095","23"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T02:09:00Z","9093","23"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T02:10:00Z","9088","23"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T02:11:00Z","9087","23"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T02:12:00Z","9086","23"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T02:13:00Z","9093","23"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T02:14:00Z","9093","23"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T02:15:00Z","9090","23"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T02:16:00Z","9088","23"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T02:17:00Z","9088","23"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T02:18:00Z","9085","23"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T02:19:00Z","9086","23"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T02:20:00Z","9086","23"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T02:21:00Z","9086","23"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T02:22:00Z","9083","23"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T02:23:00Z","9089","23"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T02:24:00Z","9088","23"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T02:25:00Z","9082","23"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T02:26:00Z","9082","23"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T02:27:00Z","9077","23"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T02:28:00Z","9081","23"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T02:29:00Z","9080","23"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T02:30:00Z","9076","23"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T02:31:00Z","9076","23"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T02:32:00Z","9076","23"
"fe63f845-4aee-4313-9b2e-3a8a2fe61897","Query.Success Rate.Signal","centralus","2025-01-31T02:33:00Z","9072","23"
